SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Devil ~ Horned ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=15|Dispel Chaos,15+CHA|Dispel Good,15+CHA|Magic Circle against Good|Teleport (Greater/Self Only)|Persistent Image,15+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Fireball,13+CHA|Lightning Bolt,15+CHA								SOURCEPAGE:MM																	
Fear Aura	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A horned devil can radiate a %1-foot-radius fear aura as a free action. A creature in the area must succeed on a DC %2 Will save or be affected as though by a fear spell (caster level 15th). A creature that successfully saves cannot be affected again by the same horned devil's aura for 24 hours. Other baatezu are immune to the aura. The save DC is Charisma-based.|FearAuraRadius|FearAuraDC	KEY:Devil ~ Horned ~ Fear Aura				DEFINE:FearAuraDC|0	DEFINE:FearAuraRadius|0				BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)	BONUS:VAR|FearAuraRadius|5							ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:MM																	
Stun	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Whenever a horned devil hits with a spiked chain attack, the opponent must succeed on a DC %1 Fortitude save or be stunned for 1d4 rounds. The save DC is Strength-based. This ability is a function of the horned devil, not of the spiked chain.|StunDC	KEY:Devil ~ Horned ~ Stun				DEFINE:StunDC|0					BONUS:VAR|StunDC|DefaultDCStr	BONUS:VAR|StunDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (StunDC)								ABILITY:Ability Focus|AUTOMATIC|Stun									SOURCEPAGE:MM																	
Infernal Wound	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The damage a horned devil deals with its tail attack causes a persistent wound. An injured creature loses 2 additional hit points each round. The wound does not heal naturally and resists healing spells. The continuing hit point loss can be stopped by a DC %1 Heal check, a cure spell, or a heal spell. However, a character attempting to cast a cure spell or a heal spell on a creature damaged by a horned devil's tail must succeed on a DC %1 caster level check, or the spell has no effect on the injured character. A successful Heal check automatically stops the continuing hit point loss as well as restoring hit points. The check DC is Constitution-based.	KEY:Devil ~ Horned ~ Infernal Wound				DEFINE:InfernalWoundDC|0					BONUS:VAR|InfernalWoundDC|DefaultDCCon	BONUS:VAR|InfernalWoundDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Infernal Wound)								ABILITY:Ability Focus|AUTOMATIC|Infernal Wound									SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day a horned devil can attempt to summon 2d10 lemures or 1d6 bearded devils with a 50%% chance of success, 1d6 barbed devils with a 35%% chance of success, or another horned devil with a 20%% chance of success. This ability is the equivalent of a 6th-level spell.	KEY:Devil ~ Horned ~ Summon Baatezu																											SOURCEPAGE:MM																	
Regeneration	CATEGORY:Special Ability	TYPE:DevilHornedRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A horned devil takes normal damage from good-aligned silvered weapons, and from spells or effects with the good descriptor.	KEY:Devil ~ Horned ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate			DEFINE:RegenerationRate|0					BONUS:VAR|RegenerationRate|5																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Ice)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilIceRaceTrait|Telepathy											BONUS:VAR|TelepathyRange|100																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An ice devil's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Ice ~ Natural Weapons																											SOURCEPAGE:MM																	
Fear Aura	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An ice devil can radiate a %1-foot-radius fear aura as a free action. A creature in the area must succeed on a DC %2 Will save or be affected as though by a Fear spell (caster level 13th). A creature that successfully saves cannot be affected again by the same ice devil's aura for 24 hours. Other baatezu are immune to the aura. The save DC is Charisma-based.|FearAuraRadius|FearAuraDC	KEY:Devil ~ Ice ~ Fear Aura				DEFINE:FearAuraDC|0	DEFINE:FearAuraRadius|0				BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)	BONUS:VAR|FearAuraRadius|5							ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:MM																	
Slow	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A hit from an ice devil's tail or spear induces numbing cold. The opponent must succeed on a DC %1 Fortitude save or be affected as though by a slow spell for 1d6 rounds. The save DC is Constitution-based.|SlowDC	KEY:Devil ~ Ice ~ Slow				DEFINE:SlowDC|0					BONUS:VAR|SlowDC|DefaultDCCon	BONUS:VAR|SlowDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (SlowDC)								ABILITY:Ability Focus|AUTOMATIC|Slow									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Devil ~ Ice ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=13|Cone of Cold,15+CHA|Fly|Ice Storm,14+CHA|Teleport (Greater/Self Only)|Persistent Image,15+CHA|Unholy Aura,18+CHA|Wall of Ice,14+CHA									SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day an ice devil can attempt to summon 2d10 lemures or 1d6 bearded devils, 2d4 bone devils with a 50%% chance of success, or another ice devil with a 20%% chance of success. This ability is the equivalent of a 4th-level spell.	KEY:Devil ~ Ice ~ Summon Baatezu																											SOURCEPAGE:MM																	
Regeneration	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ice devil takes normal damage from good-aligned weapons and from spells or effects with the good descriptor.	KEY:Devil ~ Ice ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate			DEFINE:RegenerationRate|0					BONUS:VAR|RegenerationRate|5																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Imp)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilImpRaceTrait|Flight Maneuverability|Fast Healing|Immunity To Poison|Resistance To Fire											BONUS:VAR|Maneuverability|5|TYPE=Racial	BONUS:VAR|FastHealing|2	BONUS:VAR|FireResistanceBonus|5|TYPE=Resistance																																	
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilImpRaceTrait.SpecialQuality	VISIBLE:YES	DESC:An imp's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Imp ~ Natural Weapons																											SOURCEPAGE:MM																	
Poison	CATEGORY:Special Ability	TYPE:DevilImpRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 DEX, secondary damage 2d4 DEX. Include +2 racial bonus.|PoisonDC	KEY:Devil ~ Imp ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)	BONUS:VAR|PoisonDC|2|TYPE=Racial							ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilImpRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per week an imp can use Commune spell to ask six questions. The ability otherwise works as the spell (caster level 12th).	KEY:Devil ~ Imp ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=6|Detect Good|Detect Magic|Invisibility (Self Only)	SPELLS:Innate|TIMES=1|CASTERLEVEL=6|Suggestion,13+CHA								SOURCEPAGE:MM																	
Alternate Form	CATEGORY:Special Ability	TYPE:DevilImpRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An imp can assume other forms at will as a standard action. This ability functions as a polymorph spell cast on itself (caster level 12th), except that an imp does not regain hit points for changing form, and an individual imp can assume only one or two forms no larger than Medium. Common forms include monstrous spider, raven, rat, and boar.	KEY:Devil ~ Imp ~ Alternate Form																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Lemure)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilLemureRaceTrait																																														
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilLemureRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A lemure's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Lemure ~ Natural Weapons																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devil (Pit Fiend)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevilPitFiendRaceTrait|Telepathy											BONUS:VAR|Maneuverability|3|TYPE=Racial	BONUS:VAR|TelepathyRange|100																																		
Natural Weapons	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A pit fiend's natural weapons, as well as any weapons it wields, are treated as evil-aligned and lawful-aligned for the purpose of overcoming damage reduction.	KEY:Devil ~ Pit Fiend ~ Natural Weapons																											SOURCEPAGE:MM																	
Constrict	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A pit fiend deals 2d8+26 points of damage with a successful grapple check.	KEY:Devil ~ Pit Fiend ~ Constrict																											SOURCEPAGE:MM																	
Disease	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A creature struck by a pit fiend's bite attack must succeed on a DC %1 Fortitude save or be infected with a vile disease known as devil chills (incubation period 1d4 days, damage 1d4 Str). The save DC is Constitution-based.|DiseaseDC	KEY:Devil ~ Pit Fiend ~ Disease				DEFINE:DiseaseDC|0					BONUS:VAR|DiseaseDC|DefaultDCCon	BONUS:VAR|DiseaseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Disease)								ABILITY:Ability Focus|AUTOMATIC|Disease									SOURCEPAGE:MM																	
Fear Aura	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A pit fiend can radiate a %1-foot-radius fear aura as a free action. A creature in the area must succeed on a DC %2 Will save or be affected as though by a fear spell (caster level 18th). A creature that successfully saves cannot be affected again by the same pit fiend's aura for 24 hours. Other baatezu are immune to the aura. The save DC is Charisma-based.|FearAuraRadius|FearAuraDC	KEY:Devil ~ Pit Fiend ~ Fear Aura				DEFINE:FearAuraDC|0	DEFINE:FearAuraRadius|0				BONUS:VAR|FearAuraDC|DefaultDCCha	BONUS:VAR|FearAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Fear Aura)	BONUS:VAR|FearAuraRadius|20							ABILITY:Ability Focus|AUTOMATIC|Fear Aura									SOURCEPAGE:MM																	
Improved Grab	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, a pit fiend must hit with its tail slap attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If it wins the grapple check, it establishes a hold and can constrict.	KEY:Devil ~ Pit Fiend ~ Improved Grab																											SOURCEPAGE:MM																	
Poison	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 CON, secondary damage death.|PoisonDC	KEY:Devil ~ Pit Fiend ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per year a pit fiend can use wish as the spell (caster level 20th).	KEY:Devil ~ Pit Fiend ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=18|Blasphemy,17+CHA|Create Undead|Fireball,13+CHA|Dispel Magic (Greater)|Teleport (Greater/Self Only)|Invisibility|Magic Circle against Good|Hold Monster (Mass),19+CHA|Persistent Image,15+CHA|Power Word Stun|Unholy Aura,18+CHA	SPELLS:Innate|TIMES=1|CASTERLEVEL=18|Meteor Swarm,19+CHA								SOURCEPAGE:MM																	
Summon Baatezu	CATEGORY:Special Ability	TYPE:DevilPitFiendRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Twice per day a pit fiend can automatically summon 2 lemures, bone devils, or bearded devils, or 1 erinyes, horned devil, or ice devil. This ability is the equivalent of an 8th-level spell.	KEY:Devil ~ Pit Fiend ~ Summon Baatezu																											SOURCEPAGE:MM																	
Regeneration	CATEGORY:Special Ability	TYPE:DevilIceRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A pit fiend takes normal damage from good-aligned silvered weapons, and from spells or effects with the good descriptor.	KEY:Devil ~ Pit Fiend ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate			DEFINE:RegenerationRate|0					BONUS:VAR|RegenerationRate|5																		SOURCEPAGE:MM																	
																																																	
Race Traits ~ Devourer	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=DevourerRaceTrait	AUTO:LANG|Common																																													
Energy Drain	CATEGORY:Special Ability	TYPE:DevourerRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Living creatures hit by a devourer's claw attack or spectral hand ability gain %1 negative level. The DC is %2 for the Fortitude save to remove a negative level. The save DC is Charismabased.|EnergyDrainLevels|EnergyDrainDC	KEY:Devourer ~ Energy Drain				DEFINE:EnergyDrainDC|0	DEFINE:EnergyDrainLevels|0				BONUS:VAR|EnergyDrainDC|DefaultDCCha	BONUS:VAR|EnergyDrainDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Energy Drain)	BONUS:VAR|EnergyDrainLevels|1							ABILITY:Ability Focus|AUTOMATIC|Energy Drain									SOURCEPAGE:MM																	
Trap Essence	CATEGORY:Special Ability	TYPE:DevourerRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:The devourer is named for its ability to consume an enemy's life essence. To do so, it must forgo its normal melee attacks and make a trap essence attack. This requires a normal attack roll but deals no damage. The affected creature must succeed on a DC %1 Fortitude save or die instantly. The save DC is Charisma-based. A slain creature's essence is trapped within the devourer's ribs, and the tiny figure takes on that victim's features. The trapped essence cannot be raised or resurrected, but a limited wish, miracle,or wish spell frees it, as does destroying the devourer. A devourer can hold only one essence at a time. The trapped essence provides a devourer with enough power to use five spell-like abilities for each Hit Die or level of the trapped creature. As this energy is expended, the twisted soul fades away until it evaporates completely. The trapped essence gains one negative level for every five times the devourer uses one of its spelllike abilities. When the essence's number of negative levels equals the creature's total Hit Dice or level, the essence is destroyed. If an essence is freed, the restored creature must succeed on a DC %1 Fortitude save for each negative level or lose that level permanently.|TrapEssenceDC	KEY:Devourer ~ Trap Essence				DEFINE:TrapEssenceDC|0					BONUS:VAR|TrapEssenceDC|DefaultDCCha	BONUS:VAR|TrapEssenceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trap Essence)								ABILITY:Ability Focus|AUTOMATIC|Trap Essence									SOURCEPAGE:MM																	
