SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Poison	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 STR and 1d4 CON, secondary damage 1d4 STR and 1d4 CON. The save DC is Constitution-based.|PoisonDC	KEY:Ocularon ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:*The ocularon can only use its arcane eye and true seeing spell-like abilities if it has eyes on its tendrils available to be used as arcane eyes.	KEY:Ocularon ~ Spell-Like																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=12|Arcane Eye	SPELLS:Innate|TIMES=3|CASTERLEVEL=12|Darkness|Invisibility|Passwall|True Seeing								SOURCEPAGE:FF	
Steal Eyes	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Once an opponent has been grappled for 1 round, an ocularon can attempt to forcibly remove its eyes. It must make an opposed grapple check to do so. If it is successful, the victim must make a Fortitude save (DC 20) or be permanently blinded, its eyeballs removed from its sockets. The eyeballs are now impaled on the ocularon's barbed tendrils and will fill with gas in 3 rounds, ready to be used as weapons.	KEY:Ocularon ~ Steal Eyes				DEFINE:StealEyesDC|0					BONUS:VAR|StealEyesDC|DefaultDCCon	BONUS:VAR|StealEyesDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Steal Eyes)								ABILITY:Ability Focus|AUTOMATIC|Death Throes									SOURCEPAGE:FF	
All-Around Vision	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ocularon can see in all directions at once. Because of this, it has a +4 racial bonus on Search and Spot checks, and it cannot be flanked. An ocularon only benefits from this ability when it has eyes attached to its tendrils.	KEY:Ocularon ~ All-Around vision									BONUS:SKILL|Search,Spot|4|TYPE=Racial				ABILITY:Special Ability|AUTOMATIC|All-Around Vision|Immunity To Flanking														SOURCEPAGE:FF	
Blindsight	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ocularon is effectively blind, but it maneuvers and fights as well as a sighted creature by using its other senses (mostly hearing and scent, but also by noticing vibration and other environmental clues). This ability enables it to discern objects and creatures within 80 feet. The ocularon usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight. The ocularon relies on its blindsight only if it runs out of eyes attached to its tendrils, which negates its allaround vision.	KEY:Ocularon ~ Blindsight									BONUS:VAR|BlindsightRange|80|TYPE=Base																		SOURCEPAGE:FF	
Regeneration	CATEGORY:Special Ability	TYPE:OcularonRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An ocularon takes normal damage from silver and keen weapons. Attack forms that don't deal hit point damage ignore regeneration, and an ocularon does not restore hit points lost from starvation, thirst, or suffocation.	KEY:Ocularon ~ Regeneration									BONUS:VAR|RegenerationRate|4|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Ophidian	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=OphidianRaceTrait	AUTO:LANG|Common|Yuan-Ti																				ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf	AUTO:WEAPONPROF|Scimitar								
Serpentine Curse	CATEGORY:Special Ability	TYPE:OphidianRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any humanoid hit by an ophidian's bite attack must succeed on a Fortitude save (DC %1) or contract a curse that will turn the victim into an ophidian. Starting 1d4+1 days after infection, the victim slowly becomes more snakelike: Its skin grows scaly, its legs begin to shrink and fuse together, and its tongue becomes forked. After two weeks, the victim is fully transformed into an ophidian, with no memory of its previous existence. To stop the transformation, the victim must receive a remove disease or remove curse spell before the process is complete, although these spells do not undo any transformation that has already begun. A heal, regeneration, limited wish, wish, or miracle spell is required to reverse the transformation. Once the transformation is complete, nothing short of a wish or miracle can return the victim to its previous state.|SerpentineCurseDC	KEY:Ophidian ~ Serpentine Curse				DEFINE:SerpentineCurseDC|0					BONUS:VAR|SerpentineCurseDC|DefaultDCCon	BONUS:VAR|SerpentineCurseDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Serpentine Curse)								ABILITY:Ability Focus|AUTOMATIC|Serpentine Curse									SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:OphidianRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ophidians have a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks, even if rushed or threatened. Ophidians have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered. *Ophidians also have a +10 bonus on Hide checks in forests or underground areas due to their chameleonlike ability to alter their skin tones.	KEY:Ophidian ~ Skills									BONUS:SKILL|Climb|8|TYPE=Racial	BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial	BONUS:SITUATION|Hide=Forested area|10|TYPE=Racial	BONUS:SITUATION|Hide=Underground|10|TYPE=Racial															SOURCEPAGE:FF	
																																	
Race Traits ~ Oread	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=OreadRaceTrait|Immunity to Cold	AUTO:LANG|Dwarven|Sylvan|Terran																				ABILITY:Internal|AUTOMATIC|TYPE=ShieldProf	AUTO:WEAPONPROF|Scimitar								
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:OreadRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Oread ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=14|Stone Tell|Teleport	SPELLS:Innate|TIMES=3|CASTERLEVEL=14|Charm Monster|Soften Earth and Stone|Spike stones|Stone Shape|Transmute Mud to Rock|Transmute rock to Mud	SPELLS:Innate|TIMES=1|CASTERLEVEL=14|Earthquake|move Earth							SOURCEPAGE:FF	
Burrow	CATEGORY:Special Ability	TYPE:OreadRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An oread can glide through stone, dirt, or almost any other sort of earth except metal as easily as a fish swims through water. Its burrowing leaves behind no tunnel or hole, nor does it create any ripple or other signs of its presence. A move earth spell cast on an area containing a burrowing oread flings the oread back 30 feet, stunning the creature for 1 round unless she succeeds on a Fortitude save (DC 19).	KEY:Oread ~ Burrow																											SOURCEPAGE:FF	
Earth Mastery	CATEGORY:Special Ability	TYPE:OreadRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An oread gains a +1 bonus on attack and damage rolls if her foe is touching the ground.	KEY:Oread ~ Earth Mastery																											SOURCEPAGE:FF	
Mountain Dependency	CATEGORY:Special Ability	TYPE:OreadRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Each oread is mystically bound to a mountain. If an oread strays farther than 1 mile from her mountain, she dies within 4d6 hours.	KEY:Oread ~ Mountain Dependency																											SOURCEPAGE:FF	
																																	
Race Traits ~ Phiuhl	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=PhiuhlRaceTrait|Immunity to Acid|Resistance to Electricity|Immunity to Fire|Immunity to Poison											BONUS:VAR|Maneuverability|5|TYPE=Base	BONUS:VAR|ElectricityResistanceBonus|20|TYPE=Resistance																		
Languages	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Phiuhls speak no audible language, but they appear to communicate with one another.	KEY:Phiuhl ~ Languages																											SOURCEPAGE:FF	
Death Gas	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any creatures susceptible to poison within 50 feet of a phiuhl must succeed on a Fortitude save (DC %1) or take 1d10 points of Constitution damage immediately and another 1d10 points of Constitution damage 1 minute later (unless another DC %1 Fortitude save is made). Those who save against a phiuhl's death gas are immune to that phiuhl's gas for one day.|DeathGasDC	KEY:Phiuhl ~ Death Gas				DEFINE:DeathGasDC|0					BONUS:VAR|DeathGasDC|DefaulDCCon	BONUS:VAR|DeathGasDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Death Gas)								ABILITY:Ability Focus|AUTOMATIC|Death Gas									SOURCEPAGE:FF	
Desiccate	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Any character in a square occupied by a phiuhl at the end of the phiuhl's turn must make a Fortitude save (DC %1) or gain two negative levels. The saving throw to remove one of these negative levels also has a DC of %1.|DesiccateDC	KEY:Phiuhl ~ Desiccate				DEFINE:DesiccateDC|0					BONUS:VAR|DesiccateDC|DefaulDCCon	BONUS:VAR|DesiccateDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Desiccate)								ABILITY:Ability Focus|AUTOMATIC|Desiccate									SOURCEPAGE:FF	
Heat Aura	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anyone within 30 feet of a phiuhl must make a successful Fortitude save (DC %1) or take 1d6 points of fire damage. Treat this effect as a burst that continually radiates from the creature.|HeatAuraDC	KEY:Phiuhl ~ Heat Aura				DEFINE:HeatAuraDC|0					BONUS:VAR|HeatAuraDC|DefaulDCCon	BONUS:VAR|HeatAuraDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Heat Aura)								ABILITY:Ability Focus|AUTOMATIC|Heat Aura									SOURCEPAGE:FF	
Gaseous Form	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A phiuhl's insubstantial form grants it immunity to critical hits. A phiuhl cannot run, but it can fly (slowly), and it is subject to winds. It cannot wear armor, manipulate solid objects, or enter water or other liquids. It can pass through small holes or narrow openings-even mere cracks. It also can occupy squares occupied by enemies (see Desiccate, above).	KEY:Phiuhl ~ Gaseous Form																		ABILITY:Special Ability|AUTOMATIC|Immunity to Critical Hits									SOURCEPAGE:FF	
Inscrutable Mind	CATEGORY:Special Ability	TYPE:PhiuhlRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Any creature attempting to establish a telepathic link to a phiuhl's mind (via detect thoughts, a psionic ability, dominate monster, and so on) must make a Will save (DC %1) or suffer the effects of feeblemind as cast by a 9th-level sorcerer.|InscrutableMindDC	KEY:Phiuhl ~ Inscrutable Mind				DEFINE:InscrutableMindDC|0					BONUS:VAR|InscrutableMindDC|DefaultDCCha																		SOURCEPAGE:FF	
																																	
Race Traits ~ Planetouched (Maeluth)	CATEGORY:Internal													BONUS:VAR|AdvancementByClass|1									ABILITY:Special Ability|AUTOMATIC|Planetouched (Maeluth) Racial Traits	ABILITY:Maeluth Subrace|AUTOMATIC|Maeluth ~ Common|!PREABILITY:1,CATEGORY=Internal,TYPE.AltSubraceChoice									
Planetouched (Maeluth) Racial Traits	CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	VISIBLE:DISPLAY		KEY:Planetouched (Maeluth) Racial Traits																											SOURCEPAGE:FF	
Combat Bonus	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus to attack rolls against orcs (including half-orcs) and goblinoids (including goblins, hobgoblins, and bugbears).|MaeluthCombatBonus	KEY:Maeluth ~ Combat Bonus				DEFINE:MaeluthCombatBonus|0					BONUS:VAR|MaeluthCombatBonus|2																		SOURCEPAGE:FF	ASPECT:CombatBonus|+%1 racial bonus on attack rolls against orcs and goblinoids|MaeluthCombatBonus
Spell Save Bonus	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on saving throws against spells and spell-like effects: dwarves have an innate resistance to magic spells.|MaeluthSpellSaveBonus	KEY:Maeluth ~ Spell Save Bonus				DEFINE:MaeluthSpellSaveBonus|0					BONUS:VAR|MaeluthSpellSaveBonus|2																		SOURCEPAGE:FF	ASPECT:SaveBonus|+%1 racial bonus on saving throws against spells and spell-like effects|MaeluthSpellSaveBonus
Poison Save Bonus	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on saving throws against poison: Dwarves are hardy and resistant to toxins.|MaeluthPoisonSaveBonus	KEY:Maeluth ~ Poison Save Bonus				DEFINE:MaeluthPoisonSaveBonus|0					BONUS:VAR|MaeluthPoisonSaveBonus|2	BONUS:VAR|PoisonResistanceBonus|MaeluthPoisonSaveBonus|TYPE=Racial								ABILITY:Special Ability|AUTOMATIC|Resistance To Poison									SOURCEPAGE:FF	ASPECT:SaveBonus|+%1 racial bonus on saving throws against poison|MaeluthPoisonSaveBonus
Dodge Giant Bonus	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 dodge bonus to Armor Class against monsters of the giant type (such as ogres, trolls, and hill giants): This bonus represents special training that dwarves undergo, during which they learn tricks that previous generations developed in their battles with giants. Any time a creature loses its Dexterity bonus (if any) to Armor Class, such as when it's caught flat-footed, it loses its dodge bonus, too. The Monster Manual has information on which creatures are of the giant type.|MaeluthDodgeGiantBonus	KEY:Maeluth ~ Dodge Giant Bonus				DEFINE:MaeluthDodgeGiantBonus|0					BONUS:VAR|MaeluthDodgeGiantBonus|4																		SOURCEPAGE:FF	ASPECT:CombatBonus|+%1 Dodge bonus to Armor Class against monsters of the giant type|MaeluthDodgeGiantBonus
Darkvision	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:Dwarves can see in the dark up to 60 feet. Darkvision is black and white only, but it is otherwise like normal sight, and dwarves can function just fine with no light at all.	KEY:Maeluth ~ Darkvision									BONUS:VAR|DarkvisionRange|60|TYPE=Racial																		SOURCEPAGE:FF	
Stonecunning	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality.Stonecunning	VISIBLE:YES	DESC:This ability grants a Maeluth a +%1 racial bonus on Search checks to notice unusual stonework, such as sliding walls, stonework traps, new construction (even when built to match the old), unsafe stone surfaces, shaky stone ceilings, and the like. Something that isn't stone but that is disguised as stone also counts as unusual stonework. A Maeluth who merely comes within 10 feet of unusual stonework can make a Search check as if he were actively searching, and a Maeluth can use the Search skill to find stonework traps as a rogue can. A Maeluth can also intuit depth, sensing his approximate depth underground as naturally as a human can sense which way is up. Dwarves have a sixth sense about stonework, an innate ability that they get plenty of opportunity to practice and hone in their underground homes.|StonecunningSearchBonus	KEY:Maeluth ~ Stonecunning									BONUS:VAR|StonecunningSearchBonus|2|TYPE=Racial									ABILITY:Special Ability|AUTOMATIC|Stonecunning									SOURCEPAGE:FF	
Appraise Skill Bonus	CATEGORY:Special Ability	TYPE:MaeluthRaceTrait.RaceTrait.SpecialQuality	VISIBLE:YES	DESC:+%1 racial bonus on Appraise checks that are related to stone or metal items: Dwarves are familiar with valuable items of all kinds, especially those made of stone or metal.|MaeluthAppraiseSkillBonus	KEY:Maeluth ~ Appraise Skill Bonus				DEFINE:MaeluthAppraiseSkillBonus|0					BONUS:VAR|MaeluthAppraiseSkillBonus|2	BONUS:SITUATION|Appraise=Stone or Metal object|MaeluthAppraiseSkillBonus|TYPE=Racial																	SOURCEPAGE:FF	ASPECT:SkillBonus|+%1 racial bonus on Appraise checks that are related to stone or metal items.|MaeluthAppraiseSkillBonus
