SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Extra Domain	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A rainbow servant gains the granted power and spell access of the Good domain at 1st level, the Air domain at 4th level, and the Law domain at 7th level. The rainbow servant generally uses a multicolored feather of a couatl as her divine focus. For an explanation of how nonclerics receive domain spells, see the Extra Domains section at the beginning of this chapter.	KEY:Rainbow Servant ~ Extra Domain																										SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Grow Wings	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Starting at 4th level, a rainbow servant can grow multicolored, feathered wings like that of a couatl. The wings, which allow fl ight at a speed of 60 feet with good maneuverability, have a daily duration of 1 minute per rainbow servant level, divided up however the rainbow servant wishes. It takes a standard action to grow or eliminate the feathered wings. Restrictive clothing and armor of any kind prevents the wings from growing, and a rainbow servant can't grow wings while grappling.	KEY:Rainbow Servant ~ Grow Wings									BONUS:VAR|Maneuvverability|4|TYPE=Base									MOVE:Fly,60								SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Detect Chaos	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a rainbow servant of 7th level or higher can use detect chaos, as the spell.	KEY:Rainbow Servant ~ Detect Chaos																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RainbowServantLVL|Detect Chaos								SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Cleric Spell Access	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:A 10th-level rainbow servant can learn and cast spells from the cleric list, even if they don't appear on the lists of any spellcasting class he has. Such spells are cast as divine spells if they don't appear on the sorcerer/wizard or bard spell lists. This class feature grants access to the spells, but not extra spells per day. The 10th-level rainbow servant can likewise read scrolls with cleric spells on them and use wands and staffs that contain cleric spells.	KEY:Rainbow Servant ~ Cleric Spell Access																										SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Detect Thoughts	CATEGORY:Special Ability	TYPE:ClassFeatures.RainbowServantClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a 10th-level rainbow servant can use detect thoughts, as the spell. The save DC is Charisma-based.	KEY:Rainbow Servant ~ Detect Thoughts																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=RainbowServantLVL|Detect Thoughts,12+CHA								SORTKEY:Class_Rainbow_Servant	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Sacred exorcists are proficient with all simple weapons. They do not gain proficiency with any type of armor or with shields, but usually carry these proficiencies from their previous class.	KEY:Sacred Exorcist ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|TYPE=WeaponProfSimple								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack	VISIBLE:YES	DESC:A sacred exorcist advances in spellcasting ability as well as learning the skills of exorcism. Thus, when a new sacred exorcist level is gained, the character gains new spells per day as if she had also gained a level in whatever spellcasting class she belonged to before she added the prestige class. She does not, however, gain any other benefi t a character of that class would have gained (improved chance of controlling or rebuking undead, more frequent remove disease, and so on). This means that she adds the level of sacred exorcist to the level of another spellcasting class the character has, then determines spells per day accordingly. For example, if Delliva, an 8th-level cleric, gains a level as a sacred exorcist, she gains new spells as if she had risen to 9th level as a cleric, but uses the other sacred exorcist aspects of level progression such as base attack bonus and save bonuses. If she next gains a level as a cleric, making her a 9th-level cleric/1st-level sacred exorcist, she gains spells as if she had risen to 10th level as a cleric. If a character had more than one spellcasting class in which she could cast dismissal or dispel evil before she became a sacred exorcist, the player must decide which class to assign each level of sacred exorcist for the purpose of determining spells per day and spells known.	KEY:Sacred Exorcist ~ Spells per Day																										SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Exorcism	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:As a full-round action, a sacred exorcist can force a possessing creature or spirit out of the body it inhabits. To exorcise a possessing creature, the exorcist makes a class level check (also adding her Charisma modifier, if any), against a DC of 10 + the possessing creature's HD + its Charisma modifier (if any). If the exorcist's result equals or exceeds the DC, she succeeds in forcing the possessor from the body, with the normal results based on its method of possession. A spirit so exorcised cannot attempt to possess the same victim for 24 hours.	KEY:Sacred Exorcist ~ Exorcism																		ABILITY:Special Ability|AUTOMATIC|Exorcism								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Turn Undead	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Sacred exorcists can turn undead as clerics do. If a sacred exorcist has this ability from another class, her class levels stack to determine her effective turning level.	KEY:Sacred Exorcist ~ Turn Undead									BONUS:ABILITYPOOL|Turn Undead|1|TYPE=ClassAbility	BONUS:VAR|TurnLevelBase,TurnDamagePlusBase|SacredExorcismLVL|TYPE=Level.REPLACE								ABILITY:Special Ability|AUTOMATIC|Basic Turning								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Resist Possession	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Sacred exorcists of at least 2nd level receive a +4 sacred bonus on their saving throws against magic jar spells or similar abilities (including a ghost's malevolence ability), and a +2 sacred bonus on dispel checks made to dispel such effects. They also get a +2 sacred bonus on their saving throws against all charm and compulsion spells and effects cast by evil outsiders or undead.	KEY:Sacred Exorcist ~ Resist Possession																										SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Detect Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At will, a sacred exorcist of at least 2nd level can use detect evil as a spell-like ability.	KEY:Sacred Exorcist ~ Detect Evil																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=SacredExorcistLVL|Detect Evil								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Chosen Foe	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a sacred exorcist designates either undead or evil outsiders as her chosen foe. Extensive study and special training in the proper techniques for combating this foe gives the sacred exorcist a +1 competence bonus on Bluff, Intimidate, Listen, Sense Motive, and Spot checks against the chosen foe, as well as a +1 bonus on caster level checks to overcome any spell resistance of the chosen foe. At 6th level the bonus increases to +2, and at 9th level it increases to +3.	KEY:Sacred Exorcist ~ Chosen Foe				DEFINE:SacredExorcistChosenFoeLVL|0					BONUS:VAR|SacredExorcistChosenFoeLVL|SacredExorcistLVL	BONUS:VAR|ChosenFoeCount|1	BONUS:VAR|ChosenFoeBonusCount|SacredExorcistChosenFoeLVL/3	BONUS:VAR|ChosenFoeBaseBonus|1|TYPE=Base						ABILITY:Special Ability|AUTOMATIC|Chosen Foe								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Dispel Evil	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Beginning at 4th level, a sacred exorcist can use dispel evil as a spell-like ability once per week. At 7th level, she can use this ability twice per week. At 10th level, she can use it three times per week.	KEY:Sacred Exorcist ~ Dispel Evil				DEFINE:DispelEvilTimes|0					BONUS:VAR|DispelEvilTimes|(((SacredExorcistLVL-1)/3))									SPELLS:Innate|TIMES=DispelEvilTimes|CASTERLEVEL=SacredExorcistLVL|Dispel Evil								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Consecrated Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 5th level and higher, a sacred exorcist is surrounded by an aura of positive energy that extends 20 feet from her presence. This aura duplicates the effects of a consecrate spell, but it moves with the sacred exorcist. If the sacred exorcist enters an area affected by a desecrate spell, both effects are negated while the sacred exorcist remains in the area. If the sacred exorcist is the target of a desecrate spell, her aura is suppressed for the duration of the desecrate spell.	KEY:Sacred Exorcist ~ Consecrated Aura																										SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Holy Aura	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredExorcistClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:sacred exorcist of 8th level or higher can use holy aura once per day as a spell-like ability.	KEY:Sacred Exorcist ~ Holy Aura																		SPELLS:Innate|TIMES=1|CASTERLEVEL=SacredExorcistLVL|Holy Aura								SORTKEY:Class_Sacred_Exorcist	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Sacred fi sts gain no proficiency with any weapons, armor, or shields.	KEY:Sacred Fist ~ Weapon and Armor Proficiency																		ABILITY:Internal|AUTOMATIC|Unarmed Damage								SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
AC Bonus	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A sacred fi st is highly trained at dodging blows, and he has a sixth sense that lets him avoid even unanticipated attacks. When unencumbered and wearing light or no armor, a sacred fi st gains a +1 bonus to his AC. This bonus increases to +2 at 5th level and to +3 at 10th. This bonus to AC applies even against touch attacks or when the sacred fi st is fl at-footed. He loses the bonus when he is immobilized or helpless, when he wears any armor heavier than light armor, when he carries a shield, or when he carries a medium or heavy load.	KEY:Sacred Fist ~ AC Bonus				DEFINE:SacredFistACBonus|0	DEFINE:SacredFistACStatBonus|0	DEFINE:SacredFistACLVLBonus|0			BONUS:COMBAT|AC|SacredFistACBonus|PREVARLT:ENCUMBERANCE,2,var("COUNT[EQTYPE.ARMOR.IS.HEAVY]"),1	BONUS:VAR|SacredFistACBonus|SacredFistACStatBonus+(((SacredFistACLVLBonus)/5))+1		BONUS:VAR|SacredFistACLVLBonus|SacredFistLVL|TYPE=Class														SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialAttack	VISIBLE:YES	DESC:When a new sacred fist level is gained, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in whatever spellcasting class in which he could cast divine spells before he added the prestige class. He does not, however, gain any other benefit a character of that class would have gained (improved chance of controlling or rebuking undead, wild shape ability, and so on). This essentially means that he adds the level of sacred fist to the level of whatever other spellcasting class the character has, then determines spells per day accordingly. If a character had more than one spellcasting class in which he could cast divine spells before he became a sacred fi st, the player must decide which class to assign each level of sacred fist for the purpose of determining spells per day and spells known.	KEY:Sacred Fist ~ Spells per Day																										SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
Unarmed Damage	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A sacred fi st's class levels stack with his monk levels (if any) for the purpose of determining his unarmed damage. If a sacred fi st doesn't have monk levels prior to becoming a sacred fi st, treat him as a monk of the same class level as his sacred fi st class level for determining his unarmed damage.	KEY:Sacred Fist ~ Unarmed Damage									BONUS:UDAM|CLASS.Monk|SacredFistLVL|PRECLASS:1,Monk=1																	SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
Fast Movement	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, a sacred fi st gains an enhancement bonus to his speed, as shown on Table 2-18: The Sacred Fist. A sacred fi st in medium or heavy armor or carrying a medium or heavy load loses this extra speed.	KEY:Sacred Fist ~ Fast Movement				DEFINE:SacredFistFastMovement|0	DEFINE:SacredFistFastMovementLVL|0				BONUS:VAR|FastMovement|SacredFistFastMovement|TYPE=FastMovement	BONUS:VAR|MonkFastMovement|(((SacredFistFastMovementLVL)/3)*10)|PREVAREQ:ENCUMBERANCE,0,var("COUNT[EQTYPE.ARMOR.EQUIPPED]"),0	BONUS:VAR|SacredFistFastMovementLVL|SacredFistLVL							ABILITY:Special Ability|AUTOMATIC|Fast Movement								SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
Sacred Flames	CATEGORY:Special Ability	TYPE:ClassFeatures.SacredFistClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 4th level, a sacred fist may use a standard action to invoke sacred fl ames around his hands and feet. These flames add to the sacred fi st's unarmed damage. The additional damage is equal to the sacred fi st's class level plus his Wisdom modifier (if any). Half the damage is fire damage (round up), and the rest is sacred energy and thus not subject to effects that reduce fi re damage. The sacred flames last 1 minute and can be invoked once per day. At 8th level, a sacred fist can invoke sacred flames twice per day.	KEY:Sacred Fist ~ Sacred Flames	DESC:%1/day|SacredFlamesTimes			DEFINE:SacredFlamesTimes|0					BONUS:VAR|SacredFlamesTimes|SacredFistLVL/4																	SORTKEY:Class_Sacred_Fist	SOURCEPAGE:CD				
